date,SYF,dcf,Deviation
2014-07-31,23.0,43.75939603358142,-0.47439859585014477
2014-08-01,23.0,43.75939603358142,-0.47439859585014477
2014-08-04,23.0,43.75939603358142,-0.47439859585014477
2014-08-05,23.0,43.739396033581414,-0.47415826267144867
2014-08-06,22.98,43.68939603358142,-0.4740142440436427
2014-08-07,22.93,43.70939603358142,-0.4753988368454428
2014-08-08,22.95,43.68939603358142,-0.47470090952139254
2014-08-11,22.93,43.75939603358142,-0.4759982522975573
2014-08-12,23.0,43.93939603358142,-0.47655174908590314
2014-08-13,23.18,43.769396033581415,-0.47040621757230805
2014-08-14,23.01,43.75939603358142,-0.4741700735005143
2014-08-15,23.0,43.92939603358142,-0.47643259237122537
2014-08-18,23.17,45.16939603358142,-0.4870420675367423
2014-08-19,24.41,45.949396033581415,-0.46876342004233695
2014-08-20,25.19,46.14939603358142,-0.454164037560317
2014-08-21,25.39,46.11939603358142,-0.4494724089293688
2014-08-22,25.36,45.879396033581415,-0.4472464288449274
2014-08-25,25.12,45.809396033581415,-0.4516408821110559
2014-08-26,25.05,46.229396033581416,-0.45813698319131246
2014-08-27,25.47,46.449396033581415,-0.4516613309334311
2014-08-28,25.69,46.54939603358142,-0.4481131402549915
2014-08-29,25.79,46.54939603358142,-0.44596488467015305
2014-09-02,25.79,46.54939603358142,-0.44596488467015305
2014-09-03,25.79,46.45939603358142,-0.44489162146320904
2014-09-04,25.7,46.52939603358142,-0.44766100162891276
2014-09-05,25.77,45.59939603358142,-0.4348609358548998
2014-09-08,24.84,45.79939603358142,-0.4576347692055457
2014-09-09,25.04,45.45939603358142,-0.44917877964100883
2014-09-10,24.7,45.409396033581416,-0.4560597110401179
2014-09-11,24.65,45.25939603358142,-0.45536171137347314
2014-09-12,24.5,44.909396033581416,-0.4544571478609978
2014-09-15,24.15,45.06939603358142,-0.4641596709659539
2014-09-16,24.31,45.309396033581415,-0.46346669503203153
2014-09-17,24.55,45.42939603358142,-0.45960100411960936
2014-09-18,24.67,46.16939603358142,-0.4656633588610035
2014-09-19,25.41,45.59939603358142,-0.44275577726321313
2014-09-22,24.84,45.339396033581416,-0.4521320932109061
2014-09-23,24.58,45.67939603358142,-0.4619018171358943
2014-09-24,24.92,45.38939603358142,-0.4509730867191337
2014-09-25,24.63,45.52939603358142,-0.45903082083861857
2014-09-26,24.77,45.45939603358142,-0.45511814583497556
2014-09-29,24.7,45.309396033581415,-0.4548592088560748
2014-09-30,24.55,61.56746922024624,-0.6012504604959981
2014-10-01,24.22,61.92746922024624,-0.6088973067208494
2014-10-02,24.58,62.17746922024624,-0.6046799538763431
2014-10-03,24.83,62.34746922024624,-0.6017480691592066
2014-10-06,25.0,62.19746922024624,-0.5980543852761437
2014-10-07,24.85,62.367469220246235,-0.6015551005886737
2014-10-08,25.02,61.897469220246236,-0.5957831505037345
2014-10-09,24.55,61.547469220246235,-0.6011208858621242
2014-10-10,24.2,61.80746922024624,-0.6084615612756262
2014-10-13,24.46,62.19746922024624,-0.606736410554179
2014-10-14,24.85,61.867469220246235,-0.5983349519028363
2014-10-15,24.52,61.94746922024624,-0.6041807630135414
2014-10-16,24.6,62.12746922024624,-0.6040398827000135
2014-10-17,24.78,62.05746922024624,-0.6006927077213853
2014-10-20,24.71,62.51746922024624,-0.6047504752160108
2014-10-21,25.17,62.727469220246235,-0.5987403873791866
2014-10-22,25.38,63.15746922024624,-0.5981472925792284
2014-10-23,25.81,63.45746922024624,-0.5932708896659675
2014-10-24,26.11,63.87746922024624,-0.5912486778401621
2014-10-27,26.53,64.19746922024623,-0.5867438339511191
2014-10-28,26.85,64.34746922024624,-0.5827341723712742
2014-10-29,27.0,64.13746922024623,-0.5790292269362427
2014-10-30,26.79,64.36746922024624,-0.5837959714039302
2014-10-31,27.02,64.68746922024624,-0.5822993181569216
2014-11-03,27.34,64.35746922024624,-0.575185284144158
2014-11-04,27.01,64.81746922024624,-0.5832913514685141
2014-11-05,27.47,64.92746922024624,-0.5769125097604441
2014-11-06,27.58,65.49746922024624,-0.5789150278882134
2014-11-07,28.15,66.11746922024624,-0.5742426270698817
2014-11-10,28.77,66.45746922024624,-0.5670915498654705
2014-11-11,29.11,66.37746922024624,-0.5614475763845338
2014-11-12,29.03,66.33746922024623,-0.5623890941088234
2014-11-13,28.99,66.39746922024624,-0.5633869733221666
2014-11-14,29.05,66.47746922024623,-0.5630098386604556
2014-11-17,29.13,66.29746922024624,-0.5606167121820671
2014-11-18,28.95,66.28746922024624,-0.5632658730142351
2014-11-19,28.94,66.58746922024623,-0.5653836924740689
2014-11-20,29.24,66.51746922024624,-0.5604162283567445
2014-11-21,29.17,66.31746922024624,-0.5601460619203693
2014-11-24,28.97,66.00746922024624,-0.5611102752123978
2014-11-25,28.66,66.14746922024624,-0.5667256761619562
2014-11-26,28.8,66.35746922024624,-0.5659870646300527
2014-11-28,29.01,66.22746922024623,-0.5619642371728826
2014-12-01,28.88,66.39746922024624,-0.5650436629715132
2014-12-02,29.05,66.34746922024624,-0.5621536082474227
2014-12-03,29.0,66.49746922024624,-0.5638931775892235
2014-12-04,29.15,66.59746922024624,-0.5622956796812013
2014-12-05,29.25,66.85746922024624,-0.5625021356455666
2014-12-08,29.51,66.86746922024624,-0.5586792749281302
2014-12-09,29.52,66.99746922024624,-0.5593863418488765
2014-12-10,29.65,66.86746922024624,-0.5565855812137941
2014-12-11,29.52,66.34746922024624,-0.5550696907216495
2014-12-12,29.0,65.97746922024623,-0.5604560110786898
2014-12-15,28.63,65.78746922024624,-0.5648107407179443
2014-12-16,28.44,66.24746922024624,-0.5707005817014924
2014-12-17,28.9,67.09746922024624,-0.569283307763274
2014-12-18,29.75,67.34746922024624,-0.5582610550263045
2014-12-19,30.0,67.19746922024623,-0.553554615253856
2014-12-22,29.85,67.34746922024624,-0.556776218236477
2014-12-23,30.0,67.45746922024624,-0.5552753409403626
2014-12-24,30.11,67.84746922024624,-0.5562104180738561
2014-12-26,30.5,67.80746922024623,-0.5501970453884277
2014-12-29,30.46,67.34746922024624,-0.547718713818529
2014-12-30,30.0,67.09746922024624,-0.552889246813087
2014-12-31,29.75,45.957032734952485,-0.35265620451222635
2015-01-02,29.48,45.72703273495248,-0.35530476751301854
2015-01-05,29.25,45.32703273495248,-0.3546897240982465
2015-01-06,28.85,45.67703273495248,-0.36839154663556506
2015-01-07,29.2,46.457032734952485,-0.3714622247487829
2015-01-08,29.98,46.17703273495248,-0.3507594961313434
2015-01-09,29.7,46.00703273495248,-0.3544465218806362
2015-01-12,29.53,46.18703273495248,-0.36064305820510334
2015-01-13,29.71,45.62703273495248,-0.3488509285145618
2015-01-14,29.15,44.997032734952484,-0.3521795054419874
2015-01-15,28.52,45.46703273495248,-0.3727323230821826
2015-01-16,28.99,45.57703273495248,-0.36393401982556195
2015-01-20,29.1,45.65703273495248,-0.362639263726776
2015-01-21,29.18,45.527032734952485,-0.3590621165697533
2015-01-22,29.05,47.44703273495248,-0.3877383194376255
2015-01-23,30.97,47.80703273495248,-0.352187361811365
2015-01-26,31.33,47.79703273495248,-0.34451997943610113
2015-01-27,31.32,47.72703273495248,-0.3437681287681841
2015-01-28,31.25,47.707032734952485,-0.34496030860656035
2015-01-29,31.23,47.33703273495248,-0.3402628302694488
2015-01-30,30.86,47.637032734952484,-0.35218467170904955
2015-02-02,31.16,47.60703273495248,-0.34547485508117537
2015-02-03,31.13,47.72703273495248,-0.3477491011671
2015-02-04,31.25,48.47703273495248,-0.355364834913495
2015-02-05,32.0,48.61703273495248,-0.3417944658520041
2015-02-06,32.14,48.87703273495248,-0.34243144066688913
2015-02-09,32.4,49.58703273495248,-0.3466033716277972
2015-02-10,33.11,50.027032734952485,-0.3381578280802776
2015-02-11,33.55,50.08703273495248,-0.3301659497870866
2015-02-12,33.61,49.277032734952485,-0.3179378275315625
2015-02-13,32.8,48.39703273495248,-0.3222725000594564
2015-02-17,31.92,48.387032734952484,-0.3403191269271092
2015-02-18,31.91,48.35703273495248,-0.34011666565853116
2015-02-19,31.88,49.067032734952484,-0.35027658647696147
2015-02-20,32.59,49.09703273495248,-0.3362124310865129
2015-02-23,32.62,48.83703273495248,-0.3320642517936192
2015-02-24,32.36,48.76703273495248,-0.33643697011717455
2015-02-25,32.29,48.92703273495248,-0.34003763982742663
2015-02-26,32.45,48.42703273495248,-0.32991971286774646
2015-02-27,31.95,48.43703273495248,-0.34038073358394083
2015-03-02,31.96,48.61703273495248,-0.3426172227696891
2015-03-03,32.14,48.36703273495248,-0.33549779296727456
2015-03-04,31.89,48.43703273495248,-0.3416194552110132
2015-03-05,31.96,47.67703273495248,-0.3296562691375333
2015-03-06,31.2,48.457032734952485,-0.3561306122342245
2015-03-09,31.98,47.57703273495248,-0.327826933256687
2015-03-10,31.1,48.027032734952485,-0.35244802293674804
2015-03-11,31.55,48.36703273495248,-0.3476961844467179
2015-03-12,31.89,48.29703273495248,-0.33971098856097504
2015-03-13,31.82,48.42703273495248,-0.34292897576122316
2015-03-16,31.95,48.707032734952485,-0.3440372322850932
2015-03-17,32.23,48.39703273495248,-0.3340500816133012
2015-03-18,31.92,48.84703273495248,-0.34653144289848226
2015-03-19,32.37,48.72703273495248,-0.3356870266228912
2015-03-20,32.25,48.25703273495248,-0.33170362593302627
2015-03-23,31.78,48.12703273495248,-0.33966425532568456
2015-03-24,31.65,47.39703273495248,-0.33223667867587814
2015-03-25,30.92,47.08703273495248,-0.3433436297834874
2015-03-26,30.61,46.53703273495248,-0.34224426868089075
2015-03-27,30.06,46.76703273495248,-0.3572395287432053
2015-03-30,30.29,46.82703273495248,-0.35315141210322654
2015-03-31,30.35,43.84473053892216,-0.30778454726600535
2015-04-01,30.41,44.04473053892215,-0.3095655342214705
2015-04-02,30.61,43.27473053892216,-0.2926587960503011
2015-04-06,29.84,43.19473053892216,-0.30917499362308554
2015-04-07,29.76,43.40473053892216,-0.31436044803196206
2015-04-08,29.97,43.574730538922154,-0.3122160566608676
2015-04-09,30.14,44.02473053892216,-0.31538479325039137
2015-04-10,30.59,44.074730538922154,-0.3059515140316935
2015-04-13,30.64,43.954730538922156,-0.3029191710578657
2015-04-14,30.52,44.11473053892215,-0.3081675978260279
2015-04-15,30.68,44.204730538922156,-0.305956633465137
2015-04-16,30.77,43.954730538922156,-0.29996158268441675
2015-04-17,30.52,44.33473053892216,-0.31160064290441525
2015-04-20,30.9,44.634730538922156,-0.30771397907163944
2015-04-21,31.2,44.47473053892215,-0.29847804310595527
2015-04-22,31.04,44.394730538922154,-0.30081792088395887
2015-04-23,30.96,44.25473053892215,-0.3004137722006781
2015-04-24,30.82,44.05473053892216,-0.3004156506468546
2015-04-27,30.62,44.09473053892216,-0.3055859594612579
2015-04-28,30.66,44.174730538922155,-0.3059380413653998
2015-04-29,30.74,44.58473053892216,-0.31052628044562947
2015-04-30,31.15,44.954730538922156,-0.30708070926973774
2015-05-01,31.52,45.144730538922154,-0.30180112664922
2015-05-04,31.71,45.37473053892216,-0.3011528746644707
2015-05-05,31.94,45.52473053892216,-0.29840331569470036
2015-05-06,32.09,46.08473053892216,-0.30367391487951767
2015-05-07,32.65,46.634730538922156,-0.2998780174627632
2015-05-08,33.2,46.324730538922154,-0.283320170160401
2015-05-11,32.89,46.55473053892216,-0.2935196999475217
2015-05-12,33.12,46.33473053892216,-0.2852014112356067
2015-05-13,32.9,46.204730538922156,-0.28795169636828544
2015-05-14,32.77,45.244730538922155,-0.27571676061128625
2015-05-15,31.81,45.27473053892216,-0.29740056712975216
2015-05-18,31.84,45.494730538922155,-0.3001387276541865
2015-05-19,32.06,46.08473053892216,-0.3043248897175861
2015-05-20,32.65,45.90473053892216,-0.288744327290705
2015-05-21,32.47,45.93473053892215,-0.29312745238622884
2015-05-22,32.5,45.55473053892216,-0.28657244559416595
2015-05-26,32.12,45.894730538922154,-0.30013751855978665
2015-05-27,32.46,45.964730538922154,-0.2938063680692433
2015-05-28,32.53,45.72473053892215,-0.28856879818439674
2015-05-29,32.29,45.84473053892216,-0.29566605321006734
2015-06-01,32.41,46.08473053892216,-0.296730183273455
2015-06-02,32.65,46.61473053892215,-0.29957763087919065
2015-06-03,33.18,46.18473053892215,-0.2815807386374686
2015-06-04,32.75,46.23473053892216,-0.29165803243019217
2015-06-05,32.8,46.08473053892216,-0.288267510378566
2015-06-08,32.65,46.29473053892215,-0.29473614772312773
2015-06-09,32.86,46.73473053892216,-0.2968826476353992
2015-06-10,33.3,46.65473053892216,-0.28624601159749163
2015-06-11,33.22,46.55473053892216,-0.28643126884331627
2015-06-12,33.12,46.40473053892216,-0.2862796612465951
2015-06-15,32.97,45.93473053892215,-0.28224244241373464
2015-06-16,32.5,46.18473053892215,-0.29630421958160724
2015-06-17,32.75,46.25473053892215,-0.2919643111434467
2015-06-18,32.82,46.354730538922155,-0.2919816463512306
2015-06-19,32.92,46.34473053892216,-0.2896711316003344
2015-06-22,32.91,46.424730538922155,-0.29111058657823563
2015-06-23,32.99,46.19473053892216,-0.28584928161441026
2015-06-24,32.76,46.244730538922155,-0.2915949640483396
2015-06-25,32.81,46.134730538922156,-0.28882211694464266
2015-06-26,32.7,45.66473053892216,-0.28391124585464744
2015-06-29,32.23,46.36473053892215,-0.30485954247175806
2015-06-30,32.93,46.03976047904192,-0.2847486681649811
2015-07-01,33.32,45.85976047904192,-0.2734371123628663
2015-07-02,33.14,45.219760479041916,-0.26713455248487095
2015-07-06,32.5,45.219760479041916,-0.2812876570838354
2015-07-07,32.5,44.729760479041914,-0.27341439676995716
2015-07-08,32.01,45.31976047904192,-0.29368558744252427
2015-07-09,32.6,45.78976047904192,-0.28805043619039894
2015-07-10,33.07,46.06976047904192,-0.28217556036471636
2015-07-13,33.35,46.48976047904192,-0.28263773234464096
2015-07-14,33.77,46.85976047904192,-0.2793390394066637
2015-07-15,34.14,46.84976047904192,-0.2712876298423679
2015-07-16,34.13,47.799760479041915,-0.2859796857148583
2015-07-17,35.08,48.70976047904192,-0.2798157975937148
2015-07-20,35.99,48.329760479041916,-0.2553242630778818
2015-07-21,35.61,48.399760479041916,-0.2642525572947855
2015-07-22,35.68,48.34976047904192,-0.2620439140444937
2015-07-23,35.63,47.399760479041916,-0.24830843785056644
2015-07-24,34.68,47.339760479041914,-0.2674234164037774
2015-07-27,34.62,46.94976047904191,-0.26261604645556913
2015-07-28,34.23,47.19976047904191,-0.27478445541690566
2015-07-29,34.48,47.31976047904192,-0.2713403522980361
2015-07-30,34.6,47.079760479041916,-0.26507697473519265
2015-07-31,34.36,47.079760479041916,-0.27017470670234744
2015-08-03,34.36,47.12976047904191,-0.2709489789306374
2015-08-04,34.41,47.27976047904192,-0.2722044348077187
2015-08-05,34.56,46.84976047904192,-0.26232280279297693
2015-08-06,34.13,46.69976047904191,-0.2691611338067358
2015-08-07,33.98,47.339760479041914,-0.2822101409861696
2015-08-10,34.62,47.38976047904192,-0.2694624397751353
2015-08-11,34.67,47.67976047904192,-0.2728570854453113
2015-08-12,34.96,47.87976047904191,-0.2698376171847642
2015-08-13,35.16,47.85976047904192,-0.26535361547835623
2015-08-14,35.14,48.03976047904192,-0.26852258109549976
2015-08-17,35.32,47.85976047904192,-0.26201051475243287
2015-08-18,35.14,47.67976047904192,-0.2629996533760669
2015-08-19,34.96,47.079760479041916,-0.25743037678446057
2015-08-20,34.36,46.439760479041915,-0.2601167696481438
2015-08-21,33.72,45.869760479041915,-0.2648751672595542
2015-08-24,33.15,45.70976047904192,-0.2747719600237375
2015-08-25,32.99,45.38976047904192,-0.27318409148176337
2015-08-26,32.67,45.049760479041915,-0.2748019156461716
2015-08-27,32.33,45.369760479041915,-0.2874108291813773
2015-08-28,32.65,45.66976047904192,-0.2850849302136531
2015-08-31,32.95,44.42976047904192,-0.2583799767378233
2015-09-01,31.71,44.509760479041915,-0.2875719918795985
2015-09-02,31.79,44.909760479041914,-0.29213605993655944
2015-09-03,32.19,44.31976047904192,-0.2736874104899074
2015-09-04,31.6,44.99976047904192,-0.29777404004811736
2015-09-08,32.28,44.84976047904192,-0.2802637147842898
2015-09-09,32.13,44.80976047904191,-0.2829687180535677
2015-09-10,32.09,44.049760479041915,-0.27150568695446486
2015-09-11,31.33,43.88976047904192,-0.2861660747736231
2015-09-14,31.17,43.839760479041914,-0.2890015898946079
2015-09-15,31.12,43.59976047904192,-0.28623461096858194
2015-09-16,30.88,43.48976047904192,-0.28994780242854334
2015-09-17,30.77,43.27976047904192,-0.2890441245648697
2015-09-18,30.56,43.589760479041914,-0.29891791870034845
2015-09-21,30.87,43.299760479041915,-0.2870630308696097
2015-09-22,30.58,43.77976047904192,-0.30150371620605054
2015-09-23,31.06,43.549760479041915,-0.2867928627311864
2015-09-24,30.83,43.74976047904192,-0.2953104277046513
2015-09-25,31.03,43.87976047904191,-0.29284026026485
2015-09-28,31.16,43.759760479041915,-0.28793028894836803
2015-09-29,31.04,44.01976047904191,-0.2948621332281365
2015-09-30,31.3,46.075808383233536,-0.32068473460815683
2015-10-01,31.38,46.515808383233534,-0.32539063405139457
2015-10-02,31.82,48.005808383233536,-0.3371635418368786
2015-10-05,33.31,47.49580838323353,-0.2986749539827025
2015-10-06,32.8,46.825808383233536,-0.29953158028672977
2015-10-07,32.13,47.05580838323353,-0.31719375133616334
2015-10-08,32.36,47.085808383233534,-0.312744091879649
2015-10-09,32.39,47.03580838323353,-0.3113757132417905
2015-10-12,32.34,46.515808383233534,-0.3047524890128138
2015-10-13,31.82,46.225808383233534,-0.3116399450238416
2015-10-14,31.53,46.015808383233534,-0.3148006933311125
2015-10-15,31.32,44.84580838323353,-0.30160696999031944
2015-10-16,30.15,46.03580838323353,-0.3450750392170635
2015-10-19,31.34,47.03580838323353,-0.33369913099715076
2015-10-20,32.34,47.155808383233534,-0.3141884084103913
2015-10-21,32.46,46.52580838323353,-0.30232270801988714
2015-10-22,31.83,46.38580838323353,-0.3137987434211631
2015-10-23,31.69,46.09580838323353,-0.3125188360613146
2015-10-26,31.4,46.42580838323353,-0.32365205704549527
2015-10-27,31.73,46.145808383233536,-0.31239691942359227
2015-10-28,31.45,45.615808383233535,-0.31054603404639636
2015-10-29,30.92,45.45580838323353,-0.31977889955632366
2015-10-30,30.76,46.02580838323353,-0.33167931035828635
2015-11-02,31.33,47.13580838323353,-0.3353248607666979
2015-11-03,32.44,46.77580838323353,-0.3064791155671851
2015-11-04,32.08,47.30580838323353,-0.32185917339972936
2015-11-05,32.61,48.67580838323353,-0.33005735121529955
2015-11-06,33.98,47.21580838323354,-0.28032578147986575
2015-11-09,32.52,45.77580838323353,-0.2895810877277436
2015-11-10,31.08,45.62580838323353,-0.31880658992507394
2015-11-11,30.93,45.48580838323353,-0.3200076881254007
2015-11-12,30.79,45.21580838323354,-0.3190434695088359
2015-11-13,30.52,44.98580838323353,-0.32156381986068794
2015-11-16,30.29,45.27580838323353,-0.33098930573226504
2015-11-17,30.58,46.28580838323353,-0.3393223307929255
2015-11-18,31.59,46.34580838323353,-0.31838496075454636
2015-11-19,31.65,46.045808383233535,-0.3126410174715365
2015-11-20,31.35,46.24580838323353,-0.3221007244547166
2015-11-23,31.55,46.03580838323353,-0.3146639299269769
2015-11-24,31.34,46.225808383233534,-0.3220237547783531
2015-11-25,31.53,46.045808383233535,-0.3152471178792273
2015-11-27,31.35,46.52580838323353,-0.3261804342705934
2015-11-30,31.83,47.10580838323353,-0.3242871507257836
2015-12-01,32.41,46.53580838323353,-0.303547072114964
2015-12-02,31.84,45.78580838323353,-0.30458801265460234
2015-12-03,31.09,46.725808383233534,-0.33462895398175885
2015-12-04,32.03,46.045808383233535,-0.30438836618051535
2015-12-07,31.35,46.05580838323353,-0.3193040986462662
2015-12-08,31.36,45.30580838323353,-0.3078150215369406
2015-12-09,30.61,45.74580838323353,-0.3308676558174237
2015-12-10,31.05,44.66580838323353,-0.3048373885100124
2015-12-11,29.97,44.37580838323353,-0.32463202154704784
2015-12-14,29.68,44.77580838323353,-0.33714206238398625
2015-12-15,30.08,45.225808383233534,-0.3348930383928418
2015-12-16,30.53,44.70580838323353,-0.3170909753317429
2015-12-17,30.01,44.20580838323353,-0.3211299352375998
2015-12-18,29.51,44.42580838323353,-0.3357464709378887
2015-12-21,29.73,44.905808383233534,-0.3379475602291957
2015-12-22,30.21,45.20580838323353,-0.33172304443946976
2015-12-23,30.51,45.295808383233535,-0.3264277404685104
2015-12-24,30.6,44.865808383233535,-0.31796615055675004
2015-12-28,30.17,45.38580838323353,-0.3352547619016205
2015-12-29,30.69,45.12580838323353,-0.3199013801733278
2015-12-30,30.43,45.10580838323353,-0.32536404754223935
2015-12-31,30.41,44.69164572112508,-0.31955962888997747
2016-01-04,29.94,44.86164572112507,-0.3326147643776376
2016-01-05,30.11,44.65164572112508,-0.32566875165018383
2016-01-06,29.9,43.87164572112508,-0.3184664147303107
2016-01-07,29.12,43.591645721125076,-0.33198209156191427
2016-01-08,28.84,43.451645721125075,-0.3362737009986544
2016-01-11,28.7,43.65164572112508,-0.34252192498413125
2016-01-12,28.9,42.32164572112507,-0.3171343054465765
2016-01-13,27.57,42.93164572112507,-0.35781637212118744
2016-01-14,28.18,42.39164572112507,-0.3352463788411727
2016-01-15,27.64,42.781645721125074,-0.3539285472986914
2016-01-19,28.03,42.37164572112508,-0.3384727092149459
2016-01-20,27.62,42.481645721125076,-0.34983686410563763
2016-01-21,27.73,43.811645721125075,-0.367063264947631
2016-01-22,29.06,43.231645721125076,-0.3278072228048474
2016-01-25,28.48,43.411645721125076,-0.3439548414507355
2016-01-26,28.66,43.19164572112508,-0.33644575191580706
2016-01-27,28.44,42.741645721125074,-0.3346068098181928
2016-01-28,27.99,43.171645721125074,-0.35165779454398416
